MUNICIPIO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
Abadia de Goiás,"4.659,00","11.433,00",284.81,199.37,51.27,14.53,10.4,4.27,2.85,1.51,0.31,0.15,0.15,514,-16.7573,-49.4412
Abadia dos Dourados,"1.074,00","2.094,00",60.83,42.58,10.95,3.1,2.22,0.91,0.61,0.32,0.07,0.03,0.03,98,-18.4831,-47.3916
Abadiânia,"2.882,00","5.295,00",159.7,111.79,28.75,8.14,5.83,2.4,1.6,0.85,0.18,0.08,0.08,136,-16.197,-48.7057
Abaetetuba,"13.947,00","25.708,00",780.28,546.19,140.45,39.79,28.48,11.7,7.8,4.14,0.86,0.41,0.41,1412,-1.72183,-48.8788
Abaeté,"4.302,00","10.383,00",268.87,188.21,48.4,13.71,9.81,4.03,2.69,1.43,0.3,0.14,0.14,370,-19.1551,-45.4444
Abaiara,"289,00","594,00",16.76,11.73,3.02,0.85,0.61,0.25,0.17,0.09,0.02,0.01,0.01,29,-7.34588,-39.0416
Abaré,"505,00","843,00",26.76,18.73,4.82,1.36,0.98,0.4,0.27,0.14,0.03,0.01,0.01,62,-8.72073,-39.1162
Abatiá,"1.411,00","2.820,00",84.09,58.86,15.14,4.29,3.07,1.26,0.84,0.45,0.09,0.04,0.04,84,-23.3049,-50.3133
Abaíra,"278,00","437,00",14.97,10.48,2.69,0.76,0.55,0.22,0.15,0.08,0.02,0.01,0.01,38,-13.2488,-41.6619
Abdon Batista,"176,00","295,00",8.89,6.22,1.6,0.45,0.32,0.13,0.09,0.05,0.01,0.0,0.0,26,-27.6126,-51.0233
Abel Figueiredo,"613,00","992,00",31.63,22.14,5.69,1.61,1.15,0.47,0.32,0.17,0.03,0.02,0.02,58,-4.95333,-48.3933
Abelardo Luz,"1.791,00","5.081,00",121.15,84.8,21.81,6.18,4.42,1.82,1.21,0.64,0.13,0.06,0.06,99,-26.5716,-52.3229
Abre Campo,"3.501,00","6.321,00",190.54,133.38,34.3,9.72,6.95,2.86,1.91,1.01,0.21,0.1,0.1,223,-20.2996,-42.4743
