,MUNICIPIOS,latitude,longitude,SISTEMAS_GD,POTÊNCIA (w),N_MOD,TOTAL PESO (kg),TOTAL VIDRO (kg),TOTAL ALUMÍNIO (kg),TOTAL SILÍCIO (kg),TOTAL POLÍMERO (kg),TOTAL ZINCO (kg),TOTAL CHUMBO (kg),TOTAL COBRE (kg),TOTAL PRATA (kg)
0,Rio Branco,-15.2483,-58.1259,4085,4659.0,12512.0,2419992.0,1790794.08,241999.2,72599.76,157299.48,2903.9903999999997,2419.992,14519.952,145.19952
1,Rio Branco,-9.97499,-67.8243,4085,1074.0,2233.0,2419992.0,1790794.08,241999.2,72599.76,157299.48,2903.9903999999997,2419.992,14519.952,145.19952
2,Tarauacá,-8.15697,-70.7722,68,2882.0,5177.0,33434.0,24741.16,3343.4,1003.02,2173.21,40.120799999999996,33.434,200.60399999999998,2.00604
3,Senador Guiomard,-10.1497,-67.7362,138,13947.0,24694.0,149091.0,110327.34,14909.1,4472.73,9690.915,178.90919999999997,149.091,894.546,8.94546
4,Brasiléia,-10.995,-68.7497,74,4302.0,9725.0,101262.0,74933.88,10126.2,3037.86,6582.03,121.5144,101.262,607.572,6.07572
5,Porto Acre,-9.58138,-67.5478,88,289.0,594.0,39236.0,29034.64,3923.6,1177.08,2550.34,47.0832,39.236,235.416,2.35416
6,Cruzeiro do Sul,-22.9624,-52.1622,1116,505.0,833.0,831904.0,615608.96,83190.4,24957.12,54073.76,998.2847999999999,831.904,4991.424,49.91424
7,Cruzeiro do Sul,-29.5148,-51.9928,1116,1411.0,2820.0,831904.0,615608.96,83190.4,24957.12,54073.76,998.2847999999999,831.904,4991.424,49.91424
8,Cruzeiro do Sul,-7.62762,-72.6756,1116,278.0,437.0,831904.0,615608.96,83190.4,24957.12,54073.76,998.2847999999999,831.904,4991.424,49.91424
9,Capixaba,-10.566,-67.686,15,176.0,295.0,24666.0,18252.84,2466.6,739.98,1603.29,29.5992,24.666,147.996,1.47996
10,Acrelândia,-9.82581,-66.8972,112,613.0,992.0,84590.0,62596.6,8459.0,2537.7,5498.35,101.508,84.59,507.54,5.0754
11,Feijó,-8.17054,-70.351,77,1791.0,4452.0,53078.0,39277.72,5307.8,1592.34,3450.07,63.693599999999996,53.078,318.468,3.18468
12,Xapuri,-10.6516,-68.4969,38,3501.0,8161.0,32215.0,23839.1,3221.5,966.4499999999999,2093.975,38.657999999999994,32.215,193.29,1.9329
13,Plácido de Castro,-10.2806,-67.1371,81,3716.0,6458.0,44445.0,32889.3,4444.5,1333.35,2888.925,53.333999999999996,44.445,266.67,2.6667
14,Jordão,-9.1908,-71.9503,2,152.0,239.0,490.0,362.6,49.0,14.7,31.85,0.588,0.49,2.94,0.0294
15,Sena Madureira,-9.06596,-68.6571,81,161.0,254.0,71750.0,53095.0,7175.0,2152.5,4663.75,86.1,71.75,430.5,4.305
16,Epitaciolândia,-11.0188,-68.7341,45,490.0,730.0,29945.0,22159.3,2994.5,898.35,1946.425,35.934,29.945,179.67,1.7967
17,Bujari,-9.81528,-67.955,21,1498.0,3525.0,16405.0,12139.7,1640.5,492.15,1066.325,19.686,16.405,98.43,0.9843
18,Mâncio Lima,-7.61657,-72.8997,26,9418.0,15538.0,19945.0,14759.3,1994.5,598.35,1296.425,23.933999999999997,19.945,119.67,1.1967
19,Assis Brasil,-10.9298,-69.5738,7,1455.0,2436.0,5630.0,4166.2,563.0,168.89999999999998,365.95000000000005,6.756,5.630000000000001,33.779999999999994,0.33780000000000004
20,Manoel Urbano,-8.83291,-69.2679,4,591.0,920.0,1675.0,1239.5,167.5,50.25,108.875,2.01,1.675,10.05,0.10049999999999999
21,Porto Walter,-8.26323,-72.7537,1,402.0,794.0,750.0,555.0,75.0,22.5,48.75,0.8999999999999999,0.75,4.5,0.045
22,Rodrigues Alves,-7.73864,-72.661,11,1009.0,1720.0,6685.0,4946.9,668.5,200.55,434.525,8.022,6.6850000000000005,40.11,0.4011
23,Marechal Thaumaturgo,-8.93898,-72.7997,6,3653.0,6804.0,4590.0,3396.6,459.0,137.7,298.35,5.507999999999999,4.59,27.54,0.2754
24,Maceió,-9.66599,-35.735,8600,1586.0,2876.0,5151595.0,3812180.3,515159.5,154547.85,334853.675,6181.914,5151.595,30909.57,309.0957
25,Marechal Deodoro,-9.70971,-35.8967,1601,1512.0,2985.0,804642.0,595435.08,80464.2,24139.26,52301.73,965.5704,804.642,4827.852,48.27852
26,Paripueira,-9.46313,-35.552,343,4109.0,13783.0,170093.0,125868.81999999999,17009.3,5102.79,11056.045,204.11159999999998,170.093,1020.558,10.20558
27,São Miguel dos Campos,-9.78301,-36.0971,288,15039.0,29795.0,138548.0,102525.52,13854.8,4156.44,9005.62,166.2576,138.548,831.288,8.31288
28,Coité do Nóia,-9.63348,-36.5845,70,417.0,678.0,30995.0,22936.3,3099.5,929.85,2014.6750000000002,37.193999999999996,30.995,185.97,1.8597000000000001
29,Piranhas,-9.624,-37.757,471,594.0,936.0,387150.0,286491.0,38715.0,11614.5,25164.75,464.58,387.15000000000003,2322.9,23.229
30,Piranhas,-16.4258,-51.8235,471,345.0,529.0,387150.0,286491.0,38715.0,11614.5,25164.75,464.58,387.15000000000003,2322.9,23.229
31,Passo de Camaragibe,-9.24511,-35.4745,59,231.0,449.0,53106.0,39298.44,5310.6,1593.1799999999998,3451.89,63.727199999999996,53.106,318.636,3.18636
32,Arapiraca,-9.75487,-36.6615,2895,5690.0,10802.0,1974281.0,1460967.94,197428.1,59228.43,128328.265,2369.1371999999997,1974.281,11845.686,118.45686
33,Junqueiro,-9.90696,-36.4803,153,475.0,725.0,85448.0,63231.52,8544.8,2563.44,5554.12,102.5376,85.44800000000001,512.688,5.12688
34,Coruripe,-10.1276,-36.1717,308,5808.0,10694.0,211328.0,156382.72,21132.8,6339.84,13736.32,253.59359999999998,211.328,1267.968,12.679680000000001
35,Pilar,-7.26403,-35.2523,196,387.0,592.0,395696.0,292815.04,39569.6,11870.88,25720.24,474.83519999999993,395.696,2374.176,23.74176
36,Pilar,-9.60135,-35.9543,196,1903.0,3200.0,395696.0,292815.04,39569.6,11870.88,25720.24,474.83519999999993,395.696,2374.176,23.74176
37,Barra de São Miguel,-7.74603,-36.3209,512,60.0,90.0,366149.0,270950.26,36614.9,10984.47,23799.685,439.37879999999996,366.149,2196.8940000000002,21.96894
38,Barra de São Miguel,-9.83842,-35.9057,512,1870.0,2903.0,366149.0,270950.26,36614.9,10984.47,23799.685,439.37879999999996,366.149,2196.8940000000002,21.96894
39,Penedo,-10.2874,-36.5819,344,363.0,608.0,172033.0,127304.42,17203.3,5160.99,11182.145,206.43959999999998,172.03300000000002,1032.198,10.32198
40,Boca da Mata,-9.64308,-36.2125,98,1421.0,3289.0,43125.0,31912.5,4312.5,1293.75,2803.125,51.75,43.125,258.75,2.5875
41,Jequiá da Praia,-10.0133,-36.0142,42,649.0,1755.0,20116.0,14885.84,2011.6,603.48,1307.54,24.1392,20.116,120.696,1.20696
42,Palmeira dos Índios,-9.40568,-36.6328,557,1135.0,1925.0,372836.0,275898.64,37283.6,11185.08,24234.34,447.40319999999997,372.836,2237.016,22.370160000000002
43,Rio Largo,-9.47783,-35.8394,386,4339.0,13924.0,340553.0,252009.22,34055.3,10216.59,22135.945,408.6636,340.553,2043.318,20.43318
44,São José da Tapera,-9.55768,-37.3831,68,7091.0,15590.0,32109.0,23760.66,3210.9,963.27,2087.085,38.5308,32.109,192.654,1.92654
45,Palestina,-9.67493,-37.339,377,3589.0,6777.0,226158.0,167356.92,22615.8,6784.74,14700.27,271.3896,226.15800000000002,1356.948,13.56948
46,Palestina,-20.39,-49.4309,377,1022.0,2140.0,226158.0,167356.92,22615.8,6784.74,14700.27,271.3896,226.15800000000002,1356.948,13.56948
47,Igaci,-9.53768,-36.6372,92,302.0,900.0,39619.0,29318.06,3961.9,1188.57,2575.235,47.5428,39.619,237.714,2.37714
48,Messias,-9.39384,-35.8392,37,675.0,1069.0,46893.0,34700.82,4689.3,1406.79,3048.045,56.27159999999999,46.893,281.358,2.81358
49,São José da Laje,-9.01278,-36.0515,55,4940.0,9514.0,22865.0,16920.1,2286.5,685.9499999999999,1486.2250000000001,27.438,22.865000000000002,137.19,1.3719000000000001
50,Santana do Ipanema,-9.36999,-37.248,407,157.0,238.0,467369.0,345853.06,46736.9,14021.07,30378.985,560.8427999999999,467.369,2804.214,28.04214
51,Teotônio Vilela,-9.91656,-36.3492,198,291.0,469.0,115221.0,85263.54,11522.1,3456.6299999999997,7489.365,138.2652,115.221,691.326,6.91326
52,Viçosa,-5.98253,-37.9462,932,593.0,1324.0,486046.0,359674.04,48604.6,14581.38,31592.99,583.2552,486.046,2916.276,29.162760000000002
53,Viçosa,-9.36763,-36.2431,932,2676.0,4752.0,486046.0,359674.04,48604.6,14581.38,31592.99,583.2552,486.046,2916.276,29.162760000000002
54,Viçosa,-20.7559,-42.8742,932,259.0,450.0,486046.0,359674.04,48604.6,14581.38,31592.99,583.2552,486.046,2916.276,29.162760000000002
55,Delmiro Gouveia,-9.38534,-37.9987,438,1244.0,2508.0,310361.0,229667.13999999998,31036.1,9310.83,20173.465,372.4332,310.361,1862.166,18.621660000000002
56,Piaçabuçu,-10.406,-36.434,63,464.0,893.0,41168.0,30464.32,4116.8,1235.04,2675.92,49.401599999999995,41.168,247.008,2.4700800000000003
57,Satuba,-9.56911,-35.8227,168,2059.0,5747.0,70548.0,52205.52,7054.8,2116.44,4585.62,84.65759999999999,70.548,423.288,4.23288
58,Atalaia,-23.1517,-52.0551,304,577.0,1258.0,232210.0,171835.4,23221.0,6966.299999999999,15093.650000000001,278.652,232.21,1393.26,13.9326
